,1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,5 Year,7 Year,10 Year,20 Year,30 Year
2000-10-05,,6.25,6.33,6.06,6.02,5.97,5.92,5.98,5.87,6.17,5.91
2000-10-06,,6.24,6.33,6.06,5.98,5.92,5.88,5.92,5.82,6.11,5.85
2000-10-09,,,,,,,,,,,
2000-10-10,,6.27,6.35,6.06,5.98,5.91,5.86,5.91,5.8,6.08,5.83
2000-10-11,,6.23,6.32,6.01,5.93,5.88,5.82,5.88,5.77,6.06,5.83
2000-10-12,,6.19,6.22,5.93,5.86,5.81,5.74,5.82,5.73,6.05,5.82
2000-10-13,,6.19,6.2,5.93,5.84,5.79,5.73,5.82,5.73,6.05,5.8
2000-10-16,,6.28,6.28,5.97,5.89,5.83,5.77,5.84,5.74,6.06,5.81
2000-10-17,,6.3,6.27,5.92,5.83,5.76,5.68,5.77,5.68,6.0,5.77
2000-10-18,,6.3,6.26,5.91,5.82,5.74,5.68,5.76,5.66,6.0,5.77
2000-10-19,,6.32,6.3,5.96,5.86,5.77,5.69,5.76,5.66,5.98,5.76
2000-10-20,,6.31,6.29,5.94,5.84,5.76,5.69,5.73,5.64,5.95,5.73
2000-10-23,,6.34,6.33,5.93,5.82,5.74,5.66,5.67,5.59,5.89,5.68
2000-10-24,,6.35,6.34,5.97,5.86,5.77,5.7,5.71,5.63,5.93,5.71
2000-10-25,,6.39,6.36,6.01,5.87,5.8,5.74,5.76,5.67,5.97,5.75
2000-10-26,,6.36,6.36,6.05,5.9,5.83,5.75,5.77,5.69,5.96,5.74
2000-10-27,,6.35,6.38,6.11,5.94,5.86,5.79,5.82,5.72,5.96,5.74
2000-10-30,,6.39,6.38,6.13,5.97,5.89,5.83,5.84,5.74,5.98,5.76
2000-10-31,,6.38,6.36,6.12,5.94,5.87,5.83,5.87,5.77,6.02,5.79
2000-11-01,,6.37,6.35,6.1,5.88,5.82,5.79,5.83,5.74,6.0,5.78
2000-11-02,,6.37,6.36,6.09,5.87,5.81,5.78,5.82,5.74,6.01,5.79
2000-11-03,,6.38,6.38,6.13,5.94,5.9,5.86,5.91,5.83,6.09,5.86
2000-11-06,,6.42,6.4,6.16,5.99,5.93,5.91,5.96,5.87,6.12,5.89
2000-11-07,,6.42,6.38,6.16,5.99,5.92,5.84,5.96,5.87,6.12,5.9
2000-11-08,,6.41,6.38,6.16,5.99,5.92,5.83,5.95,5.87,6.09,5.89
2000-11-09,,6.4,6.37,6.13,5.94,5.87,5.76,5.89,5.82,6.06,5.85
2000-11-10,,6.37,6.36,6.11,5.92,5.86,5.76,5.87,5.82,6.07,5.88
2000-11-13,,6.39,6.37,6.1,5.9,5.83,5.72,5.84,5.77,6.04,5.85
2000-11-14,,6.37,6.36,6.11,5.92,5.82,5.72,5.81,5.76,6.01,5.81
2000-11-15,,6.38,6.36,6.1,5.9,5.8,5.69,5.78,5.72,5.97,5.77
2000-11-16,,6.35,6.34,6.07,5.87,5.76,5.66,5.74,5.68,5.94,5.75
2000-11-17,,6.35,6.33,6.09,5.88,5.78,5.67,5.76,5.71,5.97,5.78
2000-11-20,,6.36,6.34,6.07,5.87,5.76,5.65,5.73,5.68,5.96,5.76
2000-11-21,,6.36,6.33,6.07,5.86,5.76,5.65,5.73,5.67,5.93,5.74
2000-11-22,,6.36,6.33,6.1,5.85,5.72,5.6,5.68,5.62,5.87,5.68
2000-11-23,,,,,,,,,,,
2000-11-24,,6.36,6.34,6.12,5.86,5.74,5.63,5.7,5.63,5.86,5.67
2000-11-27,,6.33,6.34,6.11,5.86,5.74,5.63,5.71,5.64,5.89,5.71
2000-11-28,,6.28,6.29,6.05,5.79,5.67,5.57,5.64,5.59,5.86,5.67
2000-11-29,,6.24,6.23,5.98,5.69,5.59,5.51,5.6,5.55,5.84,5.66
2000-11-30,,6.21,6.18,5.92,5.61,5.52,5.42,5.5,5.48,5.78,5.6
2000-12-01,,6.23,6.19,5.93,5.62,5.55,5.46,5.56,5.52,5.82,5.64
2000-12-04,,6.15,6.13,5.88,5.59,5.51,5.45,5.56,5.53,5.84,5.66
2000-12-05,,6.08,6.07,5.79,5.49,5.43,5.36,5.45,5.43,5.76,5.59
2000-12-06,,6.09,6.04,5.72,5.42,5.34,5.26,5.33,5.32,5.68,5.52
2000-12-07,,6.11,6.06,5.74,5.45,5.35,5.26,5.34,5.32,5.67,5.51
2000-12-08,,6.09,6.04,5.77,5.5,5.41,5.32,5.39,5.35,5.71,5.55
2000-12-11,,6.08,6.06,5.79,5.52,5.43,5.33,5.42,5.37,5.71,5.54
2000-12-12,,6.06,6.06,5.79,5.54,5.42,5.33,5.42,5.36,5.7,5.53
2000-12-13,,6.06,6.03,5.74,5.45,5.34,5.24,5.33,5.29,5.64,5.48
2000-12-14,,6.06,6.01,5.7,5.43,5.31,5.19,5.28,5.23,5.6,5.45
2000-12-15,,6.02,5.99,5.65,5.38,5.26,5.15,5.24,5.2,5.59,5.44
2000-12-18,,5.95,5.94,5.58,5.33,5.21,5.1,5.19,5.17,5.59,5.44
2000-12-19,,5.93,5.93,5.58,5.35,5.23,5.12,5.22,5.19,5.61,5.47
2000-12-20,,5.82,5.82,5.46,5.24,5.12,5.0,5.13,5.08,5.55,5.42
2000-12-21,,5.38,5.64,5.33,5.14,5.04,4.94,5.1,5.03,5.53,5.41
2000-12-22,,5.27,5.52,5.25,5.1,5.02,4.93,5.07,5.02,5.52,5.4
2000-12-25,,,,,,,,,,,
2000-12-26,,5.85,5.76,5.31,5.1,5.0,4.92,5.09,5.04,5.54,5.41
2000-12-27,,5.75,5.68,5.32,5.1,5.04,4.99,5.17,5.11,5.58,5.45
2000-12-28,,5.87,5.79,5.4,5.18,5.12,5.02,5.21,5.13,5.59,5.44
2000-12-29,,5.89,5.7,5.32,5.11,5.06,4.99,5.16,5.12,5.59,5.46
2001-01-01,,,,,,,,,,,
2001-01-02,,5.87,5.58,5.11,4.87,4.82,4.76,4.97,4.92,5.46,5.35
2001-01-03,,5.69,5.44,5.04,4.92,4.92,4.94,5.18,5.14,5.62,5.49
2001-01-04,,5.37,5.2,4.82,4.77,4.78,4.82,5.07,5.03,5.56,5.44
2001-01-05,,5.12,4.98,4.6,4.56,4.57,4.66,4.93,4.93,5.5,5.41
2001-01-08,,5.19,5.03,4.61,4.54,4.55,4.65,4.94,4.94,5.52,5.42
2001-01-09,,5.24,5.11,4.71,4.64,4.65,4.73,4.98,4.98,5.53,5.43
2001-01-10,,5.29,5.16,4.82,4.76,4.78,4.83,5.09,5.1,5.6,5.49
2001-01-11,,5.31,5.17,4.84,4.77,4.78,4.85,5.12,5.14,5.67,5.55
2001-01-12,,5.33,5.24,4.96,4.9,4.91,4.97,5.24,5.25,5.74,5.63
2001-01-15,,,,,,,,,,,
2001-01-16,,5.38,5.27,4.95,4.89,4.89,4.96,5.22,5.24,5.71,5.6
2001-01-17,,5.36,5.26,4.91,4.84,4.84,4.87,5.14,5.19,5.64,5.52
2001-01-18,,5.28,5.12,4.76,4.72,4.73,4.74,5.06,5.12,5.57,5.47
2001-01-19,,5.24,5.11,4.79,4.75,4.76,4.84,5.14,5.19,5.67,5.56
2001-01-22,,5.23,5.11,4.79,4.75,4.78,4.87,5.19,5.25,5.71,5.61
2001-01-23,,5.24,5.14,4.85,4.82,4.83,4.96,5.24,5.3,5.76,5.65
2001-01-24,,5.28,5.15,4.86,4.81,4.84,4.98,5.27,5.33,5.78,5.67
2001-01-25,,5.28,5.13,4.83,4.78,4.8,4.94,5.23,5.29,5.73,5.61
2001-01-26,,5.17,5.05,4.8,4.78,4.81,4.93,5.23,5.29,5.75,5.64
2001-01-29,,5.11,5.04,4.78,4.77,4.8,4.97,5.25,5.32,5.78,5.69
2001-01-30,,5.02,4.95,4.68,4.7,4.75,4.91,5.17,5.24,5.68,5.59
2001-01-31,,4.99,4.83,4.6,4.62,4.67,4.85,5.08,5.19,5.65,5.54
2001-02-01,,5.0,4.81,4.56,4.55,4.59,4.78,5.01,5.1,5.55,5.46
2001-02-02,,5.06,4.91,4.67,4.65,4.71,4.86,5.09,5.17,5.6,5.51
2001-02-05,,5.06,4.95,4.7,4.68,4.71,4.88,5.09,5.18,5.58,5.48
2001-02-06,,5.07,4.96,4.74,4.72,4.76,4.92,5.13,5.22,5.61,5.51
2001-02-07,,5.07,4.95,4.73,4.7,4.74,4.91,5.12,5.1,5.61,5.52
2001-02-08,,5.08,4.96,4.74,4.73,4.77,4.93,5.13,5.1,5.62,5.44
2001-02-09,,5.06,4.92,4.68,4.67,4.7,4.85,5.05,5.03,5.55,5.38
2001-02-12,,5.04,4.94,4.7,4.67,4.71,4.86,5.08,5.05,5.6,5.42
2001-02-13,,5.05,4.98,4.77,4.75,4.78,4.9,5.11,5.07,5.62,5.43
2001-02-14,,5.07,5.02,4.84,4.84,4.87,4.99,5.16,5.13,5.64,5.44
2001-02-15,,5.08,5.04,4.9,4.89,4.92,5.06,5.23,5.19,5.71,5.5
2001-02-16,,5.02,4.95,4.78,4.75,4.79,4.94,5.14,5.11,5.67,5.46
2001-02-19,,,,,,,,,,,
2001-02-20,,5.04,4.95,4.77,4.73,4.77,4.94,5.13,5.11,5.66,5.46
2001-02-21,,5.02,4.93,4.74,4.68,4.75,4.96,5.16,5.14,5.7,5.49
2001-02-22,,5.01,4.87,4.68,4.63,4.72,4.94,5.16,5.15,5.72,5.52
2001-02-23,,4.89,4.72,4.58,4.53,4.63,4.86,5.11,5.1,5.66,5.49
2001-02-26,,4.81,4.69,4.48,4.46,4.54,4.81,5.05,5.05,5.62,5.45
2001-02-27,,4.82,4.64,4.47,4.44,4.51,4.75,4.97,4.96,5.51,5.34
2001-02-28,,4.85,4.7,4.47,4.41,4.48,4.7,4.93,4.92,5.51,5.34
2001-03-01,,4.84,4.68,4.45,4.41,4.48,4.67,4.88,4.87,5.45,5.29
2001-03-02,,4.84,4.69,4.48,4.48,4.53,4.75,4.98,4.95,5.55,5.38
2001-03-05,,4.82,4.7,4.51,4.49,4.57,4.78,5.0,4.98,5.55,5.36
2001-03-06,,4.79,4.68,4.5,4.49,4.55,4.78,5.0,4.99,5.56,5.38
2001-03-07,,4.69,4.63,4.44,4.43,4.5,4.72,4.94,4.92,5.49,5.32
2001-03-08,,4.68,4.59,4.42,4.43,4.49,4.7,4.9,4.89,5.48,5.3
2001-03-09,,4.72,4.63,4.46,4.47,4.53,4.75,4.96,4.95,5.5,5.32
2001-03-12,,4.66,4.6,4.43,4.46,4.54,4.72,4.94,4.92,5.48,5.31
2001-03-13,,4.66,4.57,4.43,4.46,4.53,4.75,4.97,4.95,5.5,5.34
2001-03-14,,4.54,4.46,4.29,4.32,4.4,4.62,4.86,4.84,5.43,5.28
2001-03-15,,4.52,4.42,4.19,4.22,4.31,4.55,4.82,4.81,5.43,5.29
2001-03-16,,4.54,4.38,4.19,4.26,4.35,4.54,4.79,4.78,5.41,5.28
2001-03-19,,4.53,4.4,4.25,4.32,4.4,4.58,4.83,4.82,5.44,5.3
2001-03-20,,4.49,4.34,4.18,4.24,4.33,4.52,4.78,4.78,5.41,5.27
2001-03-21,,4.31,4.29,4.14,4.21,4.29,4.49,4.76,4.77,5.42,5.28
2001-03-22,,4.26,4.27,4.1,4.17,4.26,4.44,4.71,4.73,5.38,5.25
2001-03-23,,4.29,4.32,4.17,4.24,4.33,4.52,4.78,4.8,5.43,5.3
2001-03-26,,4.29,4.26,4.18,4.27,4.37,4.56,4.82,4.85,5.5,5.36
2001-03-27,,4.35,4.27,4.29,4.41,4.51,4.73,4.97,5.0,5.61,5.45
2001-03-28,,4.34,4.17,4.22,4.3,4.42,4.68,4.94,4.97,5.61,5.47
2001-03-29,,4.32,4.14,4.16,4.27,4.4,4.67,4.93,4.98,5.63,5.48
2001-03-30,,4.3,4.09,4.09,4.18,4.33,4.62,4.86,4.93,5.6,5.46
2001-04-02,,4.22,4.16,4.1,4.22,4.37,4.66,4.92,4.98,5.64,5.49
2001-04-03,,4.15,4.09,4.01,4.15,4.3,4.6,4.87,4.94,5.62,5.48
2001-04-04,,4.1,4.05,3.97,4.12,4.27,4.58,4.86,4.94,5.62,5.5
2001-04-05,,4.11,4.08,4.01,4.19,4.33,4.63,4.91,4.98,5.66,5.53
2001-04-06,,3.94,3.95,3.9,4.07,4.22,4.52,4.8,4.89,5.57,5.46
2001-04-09,,3.93,3.95,3.94,4.1,4.26,4.56,4.83,4.93,5.61,5.5
2001-04-10,,3.94,4.0,4.04,4.24,4.4,4.7,4.99,5.09,5.76,5.63
2001-04-11,,4.08,4.11,4.11,4.29,4.44,4.75,5.02,5.12,5.75,5.6
2001-04-12,,4.01,4.11,4.17,4.36,4.52,4.83,5.09,5.17,5.77,5.61
2001-04-13,,,,,,,,,,,
2001-04-16,,4.15,4.21,4.26,4.49,4.65,4.94,5.2,5.28,5.86,5.7
2001-04-17,,4.12,4.16,4.17,4.41,4.57,4.87,5.12,5.21,5.8,5.65
2001-04-18,,3.91,3.95,3.97,4.26,4.43,4.75,5.02,5.14,5.79,5.65
2001-04-19,,3.87,3.94,3.94,4.29,4.5,4.86,5.15,5.27,5.91,5.77
2001-04-20,,3.77,3.83,3.88,4.26,4.5,4.88,5.16,5.29,5.92,5.79
2001-04-23,,3.75,3.78,3.77,4.15,4.38,4.78,5.06,5.2,5.84,5.73
2001-04-24,,3.8,3.78,3.76,4.16,4.39,4.78,5.07,5.22,5.87,5.75
2001-04-25,,3.84,3.87,3.85,4.2,4.45,4.88,5.14,5.28,5.91,5.78
2001-04-26,,3.83,3.83,3.83,4.14,4.4,4.79,5.06,5.2,5.82,5.71
2001-04-27,,3.85,3.89,3.91,4.28,4.53,4.94,5.2,5.34,5.94,5.81
2001-04-30,,3.95,3.97,3.94,4.3,4.55,4.97,5.22,5.35,5.92,5.78
2001-05-01,,3.92,3.92,3.91,4.23,4.5,4.94,5.17,5.3,5.87,5.75
2001-05-02,,3.89,3.93,3.95,4.27,4.53,4.95,5.18,5.31,5.83,5.71
2001-05-03,,3.84,3.89,3.89,4.22,4.48,4.87,5.09,5.22,5.75,5.64
2001-05-04,,3.74,3.78,3.79,4.14,4.41,4.83,5.06,5.21,5.77,5.65
2001-05-07,,3.74,3.73,3.73,4.12,4.39,4.82,5.06,5.21,5.78,5.68
2001-05-08,,3.7,3.7,3.7,4.1,4.3,4.68,5.07,5.24,5.81,5.72
2001-05-09,,3.72,3.66,3.69,4.07,4.27,4.65,5.01,5.2,5.76,5.67
2001-05-10,,3.74,3.7,3.78,4.17,4.38,4.76,5.13,5.31,5.86,5.75
2001-05-11,,3.78,3.79,3.89,4.36,4.58,4.99,5.34,5.51,6.02,5.88
2001-05-14,,3.71,3.76,3.79,4.29,4.53,4.94,5.28,5.46,5.99,5.85
2001-05-15,,3.63,3.7,3.75,4.28,4.52,4.95,5.33,5.5,6.03,5.89
2001-05-16,,3.57,3.67,3.72,4.25,4.51,4.95,5.3,5.48,6.01,5.86
2001-05-17,,3.57,3.7,3.75,4.33,4.58,4.99,5.29,5.46,5.96,5.8
2001-05-18,,3.61,3.73,3.79,4.37,4.6,4.99,5.28,5.41,5.93,5.76
2001-05-21,,3.65,3.77,3.83,4.37,4.6,4.99,5.29,5.41,5.92,5.75
2001-05-22,,3.64,3.76,3.79,4.34,4.58,4.99,5.29,5.42,5.95,5.78
2001-05-23,,3.64,3.72,3.75,4.29,4.53,4.96,5.29,5.41,5.95,5.79
2001-05-24,,3.7,3.72,3.79,4.32,4.59,5.05,5.38,5.52,6.04,5.87
2001-05-25,,3.66,3.69,3.76,4.31,4.58,5.04,5.38,5.52,6.04,5.86
2001-05-28,,,,,,,,,,,
2001-05-29,,3.71,3.68,3.76,4.33,4.6,5.06,5.4,5.54,6.05,5.86
2001-05-30,,3.68,3.65,3.75,4.34,4.61,5.07,5.39,5.54,6.04,5.86
2001-05-31,,3.63,3.59,3.63,4.22,4.49,4.94,5.27,5.43,5.95,5.78
2001-06-01,,3.67,3.61,3.67,4.22,4.49,4.94,5.24,5.39,5.89,5.71
2001-06-04,,3.68,3.64,3.68,4.19,4.47,4.93,5.22,5.35,5.87,5.69
2001-06-05,,3.63,3.6,3.61,4.12,4.39,4.84,5.15,5.29,5.85,5.66
2001-06-06,,3.62,3.6,3.62,4.12,4.38,4.83,5.15,5.27,5.83,5.65
2001-06-07,,3.63,3.6,3.63,4.14,4.41,4.88,5.21,5.33,5.89,5.72
2001-06-08,,3.64,3.63,3.64,4.17,4.45,4.93,5.25,5.38,5.9,5.73
2001-06-11,,3.6,3.62,3.64,4.11,4.4,4.87,5.19,5.32,5.85,5.69
2001-06-12,,3.56,3.6,3.62,4.09,4.37,4.82,5.14,5.27,5.81,5.65
2001-06-13,,3.55,3.58,3.6,4.08,4.35,4.81,5.15,5.28,5.81,5.66
2001-06-14,,3.56,3.59,3.56,4.04,4.3,4.76,5.11,5.26,5.8,5.65
2001-06-15,,3.52,3.55,3.53,4.01,4.26,4.74,5.12,5.27,5.83,5.68
2001-06-18,,3.52,3.49,3.48,3.98,4.24,4.73,5.1,5.27,5.84,5.7
2001-06-19,,3.51,3.49,3.48,3.99,4.25,4.72,5.08,5.26,5.82,5.69
2001-06-20,,3.49,3.47,3.45,3.98,4.24,4.72,5.06,5.24,5.8,5.67
2001-06-21,,3.51,3.48,3.47,3.99,4.25,4.7,5.05,5.22,5.77,5.64
2001-06-22,,3.45,3.42,3.41,3.93,4.18,4.63,4.98,5.14,5.7,5.58
2001-06-25,,3.46,3.46,3.48,3.96,4.22,4.65,5.0,5.16,5.72,5.59
2001-06-26,,3.46,3.49,3.53,4.03,4.3,4.74,5.08,5.24,5.78,5.65
2001-06-27,,3.52,3.55,3.59,4.06,4.36,4.82,5.11,5.26,5.77,5.62
2001-06-28,,3.64,3.64,3.69,4.22,4.48,4.92,5.23,5.35,5.85,5.68
2001-06-29,,3.65,3.63,3.72,4.25,4.52,4.97,5.28,5.42,5.91,5.75
2001-07-02,,3.67,3.61,3.74,4.21,4.47,4.88,5.21,5.37,5.86,5.7
2001-07-03,,3.66,3.63,3.71,4.24,4.48,4.91,5.25,5.41,5.9,5.73
2001-07-04,,,,,,,,,,,
2001-07-05,,3.65,3.63,3.7,4.24,4.5,4.95,5.29,5.44,5.94,5.76
2001-07-06,,3.63,3.57,3.63,4.16,4.43,4.9,5.24,5.41,5.92,5.75
2001-07-09,,3.65,3.62,3.66,4.15,4.41,4.88,5.21,5.37,5.87,5.7
2001-07-10,,3.63,3.58,3.61,4.08,4.34,4.82,5.15,5.32,5.83,5.68
2001-07-11,,3.58,3.55,3.6,4.07,4.33,4.81,5.14,5.31,5.84,5.69
2001-07-12,,3.6,3.56,3.6,4.07,4.33,4.8,5.1,5.27,5.8,5.65
2001-07-13,,3.62,3.59,3.64,4.12,4.37,4.82,5.11,5.27,5.79,5.64
2001-07-16,,3.64,3.61,3.63,4.07,4.32,4.76,5.05,5.21,5.74,5.59
2001-07-17,,3.61,3.59,3.63,4.09,4.34,4.78,5.06,5.22,5.74,5.59
2001-07-18,,3.54,3.51,3.57,3.96,4.26,4.66,4.94,5.12,5.65,5.52
2001-07-19,,3.55,3.54,3.6,3.98,4.28,4.69,4.96,5.13,5.66,5.53
